Underwater^^^Action, Horror, Sci-Fi^^^2020
Battleship^^^Action, Adventure, Sci-Fi^^^2012
Total Recall^^^Action, Sci-Fi, Thriller^^^1990
The Meg^^^Action, Horror, Sci-Fi^^^2018
Star Wars: Episode VIII - The Last Jedi^^^Action, Adventure, Fantasy^^^2017
The Butterfly Effect^^^Drama, Sci-Fi, Thriller^^^2004
Castle Rock^^^Drama, Fantasy, Horror^^^2018
Planet of the Apes^^^Adventure, Sci-Fi^^^1968
The Incredible Hulk^^^Action, Adventure, Sci-Fi^^^2008
The OA^^^Drama, Fantasy, Mystery^^^2016
The Midnight Sky^^^Drama, Fantasy, Sci-Fi^^^2020
Daybreak^^^Action, Adventure, Comedy^^^2019
The Happening^^^Drama, Mystery, Sci-Fi^^^2008
Devs^^^Drama, Mystery, Sci-Fi^^^2020
Jurassic Park III^^^Action, Adventure, Sci-Fi^^^2001
Mass Effect 2^^^Action, Adventure, Sci-Fi^^^2010
Intergalactic^^^Drama, Sci-Fi^^^2021
I Am Not Okay with This^^^Comedy, Sci-Fi^^^2020
Timeless^^^Action, Adventure, Drama^^^2016
What Happened to Monday^^^Action, Crime, Fantasy^^^2017
Neon Genesis Evangelion^^^Animation, Action, Drama^^^1995
A Cure for Wellness^^^Drama, Fantasy, Horror^^^2016
Speed Racer^^^Action, Adventure, Comedy^^^2008
The Abyss^^^Adventure, Drama, Mystery^^^1989
Source Code^^^Action, Drama, Mystery^^^2011
Guardians of the Galaxy Vol. 3^^^Action, Adventure, Comedy^^^2023
The War of the Worlds^^^Drama, Sci-Fi^^^2019
Moon Knight^^^Action, Adventure, Drama^^^2022
The Call^^^Crime, Horror, Mystery^^^2020
Gamer^^^Action, Sci-Fi, Thriller^^^2009
Limitless^^^Sci-Fi, Thriller^^^2011
Event Horizon^^^Horror, Sci-Fi, Thriller^^^1997
Teenage Mutant Ninja Turtles^^^Action, Adventure, Comedy^^^2014
A.I. Artificial Intelligence^^^Drama, Sci-Fi^^^2001
Hulk^^^Action, Sci-Fi^^^2003
Flash Gordon^^^Action, Adventure, Sci-Fi^^^1980
Maniac^^^Comedy, Drama, Sci-Fi^^^2018
The Bad Batch^^^Action, Horror, Mystery^^^2016
Moon^^^Drama, Mystery, Sci-Fi^^^2009
Knight Rider^^^Action, Crime, Drama^^^1982
Under the Dome^^^Drama, Mystery, Sci-Fi^^^2013
Runaways^^^Action, Drama, Sci-Fi^^^2017
Family Matters^^^Adventure, Comedy, Drama^^^1989
Alien vs. Predator^^^Action, Adventure, Horror^^^2004
Color Out of Space^^^Horror, Mystery, Sci-Fi^^^2019
Level 16^^^Drama, Sci-Fi, Thriller^^^2018
Star Trek Into Darkness^^^Action, Adventure, Sci-Fi^^^2013
Resident Evil: Apocalypse^^^Action, Horror, Sci-Fi^^^2004
